mfg,makes,carlines,type,percent_content_USA_CAN,percent_content_other1,percent_content_other2,final_assembly1,final_assembly2,source_E1,source_E2,source_T1,source_T2,year
American Honda,Acura,MDX,MPV,65%,25% J,"",CN,"",US,"",J,"",2011
American Honda,Acura,RDX,MPV,70%,15% J,"",US,"",US,"",US,"",2011
American Honda,Acura,RL,PC,5%,90% J,"",J,"",J,"",J,"",2011
American Honda,Acura,TL,PC,75%,"","",US,"",US,"",US,J,2011
American Honda,Acura,TSX,PC,5%,85% J,"",J,"",J,"",J,"",2011
American Honda,Acura,ZDX,PC,65%,25% J,"",CN,"",US,"",J,"",2011
American Honda,Honda,Accord,PC,80%,"","",US,J,US,J,US,"J, P",2011
American Honda,Honda,Civic,PC,70%,15% J,"",US,"CN, J",US,J,J,"",2011
American Honda,Honda,CR-V,MPV,60%,35% J,"",US,"J, M",US,J,US,J,2011
American Honda,Honda,CR-Z,PC,0%,95% J,"",J,"",J,"",J,"",2011
American Honda,Honda,Element,MPV,65%,20% J,"",US,"",US,"",J,"",2011
American Honda,Honda,FCX Clarity,PC,5%,95% J,"",J,"",J,"",J,"",2011
American Honda,Honda,Fit,PC,0%,90% J,"",J,"",J,"",J,"",2011
American Honda,Honda,Insight,PC,0%,90% J,"",J,"",J,"",J,"",2011
American Honda,Honda,Odyssey,MPV,75%,15% J,"",US,"",US,"",US,J,2011
American Honda,Honda,Pilot,MPV,70%,"","",US,"",US,"",US,"",2011
American Honda,Honda,Ridgeline,Truck,75%,"","",US,"",US,"",US,"",2011
American Suzuki,Suzuki,Equator,Truck,50%,27% J,"",US,"",US,"",J,"",2011
American Suzuki,Suzuki,Grand Vitara,MPV,1%,87% J,"",J,"",J,"",J,"",2011
American Suzuki,Suzuki,Kizashi,PC,2%,81% J,"",J,"",J,"",J,"",2011
American Suzuki,Suzuki,SX4 (Hatchback),PC,0%,81% J,"",J,"",J,"",J,"",2011
American Suzuki,Suzuki,SX4 Sedan,PC,0%,80% J,"",J,"",J,"",J,"",2011
BMW AG,BMW,"128i Convertible/Coupe,
Manual/Auto",PC,5%,75% G,"",G,"",G,"",G,"",2011
BMW AG,BMW,"135i Convertible/Coupe,
Manual",PC,5%,75% G,"",G,"",G,"",G,"",2011
BMW AG,BMW,"1M Coupe, Manual",PC,5%,75% G,"",G,"",G,"",G,"",2011
BMW AG,BMW,"328i Sedan SA,
Manual/Auto",PC,5%,75% G,"",AF,"",G,"",G,"",2011
BMW AG,BMW,"328i, Manual/Auto",PC,5%,75% G,"",G,"",G,"",G,"",2011
BMW AG,BMW,"335d Sedan, Auto",PC,5%,75% G,"",G,"",G,"",G,"",2011
BMW AG,BMW,"335i Sedan SA,
Manual/Auto",PC,5%,75% G,"",AF,"",G,"",G,"",2011
BMW AG,BMW,"335i, Manual/Auto",PC,5%,75% G,"",G,"",G,"",G,"",2011
BMW AG,BMW,"335is, Manual",PC,5%,75% G,"",G,"",G,"",G,"",2011
BMW AG,BMW,"528i Sedan, Auto",PC,5%,80% G,"",G,"",G,"",G,"",2011
BMW AG,BMW,"535i/550i GT/xDrive/xDrive
GT, Auto",PC,5%,80% G,"",G,"",G,"",G,"",2011
BMW AG,BMW,"535i/550i Sedan,
Manual/Auto",PC,5%,80% G,"",G,"",G,"",G,"",2011
BMW AG,BMW,"7 Series, Auto",PC,5%,80% G,"",G,"",G,"",G,"",2011
BMW AG,BMW,"M3
Convertible/Coupe/Sedan,
Manual",PC,5%,75% G,"",G,"",G,"",G,"",2011
BMW AG,BMW,"X3, Auto",MPV,22%,34% G,"",US,"",A,"",G,"",2011
BMW AG,BMW,"X5, Auto",MPV,30%,45% G,"",US,"",G,"",G,"",2011
BMW AG,BMW,"X6, Auto",MPV,20%,60% G,"",US,"",G,"",G,"",2011
BMW AG,BMW,"Z4 sDrive30i, Manual/Auto",PC,5%,80% G,"",G,"",G,"",G,"",2011
BMW AG,BMW,"Z4 sDrive35i/sDrive35is
HP, Manual",PC,5%,80% G,"",G,"",G,"",G,"",2011
BMW AG,Mini,"Cooper S Countryman All4
Auto",PC,5%,35% G,30% A,A,"",F,"",BE,"",2011
BMW AG,Mini,"Cooper S Countryman All4
Manual",PC,5%,35% G,30% A,A,"",F,"",G,"",2011
BMW AG,Mini,"Cooper/Cooper S
Countryman Auto",PC,5%,35% G,30% A,A,"",F,"",J,"",2011
BMW AG,Mini,"Cooper/Cooper S
Countryman Manual",PC,5%,35% G,30% A,A,"",F,"",G,"",2011
BMW AG,Mini,"Cooper/Cooper S
Hardtop/Clubman/Converti
ble Auto",PC,5%,35% UK,25% F,UK,"",F,"",J,"",2011
BMW AG,Mini,"Cooper/Cooper S
Hardtop/Clubman/Converti
ble Manual",PC,5%,35% UK,25% F,UK,"",F,"",G,"",2011
BMW AG,Mini,Clubman John Cooper Works Hardtop/Clubman/Converti ble Manual,PC,5%,35% UK,25% F,UK,"",G,"",G,"",2011
Chrysler LLC,Chrysler,200,PC,81%,"","",US,"",US,M,US,"",2011
Chrysler LLC,Chrysler,300,PC,73%,"","",CN,"",US,M,US,"",2011
Chrysler LLC,Chrysler,Town & Country,MPV,80%,"","",CN,"",US,M,US,"",2011
Chrysler LLC,Dodge,Avenger Sedan,PC,83%,"","",US,"",US,M,"",US,2011
Chrysler LLC,Dodge,Caliber,MPV,73%,17% M,"",US,"",US,"",US,M,2011
Chrysler LLC,Dodge,Challenger,PC,70%,"","",CN,"",US,M,US,"",2011
Chrysler LLC,Dodge,Charger,PC,70%,"","",CN,"",US,M,US,"",2011
Chrysler LLC,Dodge,Dakota,Truck,84%,"","",US,"",US,"",US,"",2011
Chrysler LLC,Dodge,Durango,MPV,69%,"","",US,"",US,M,US,"",2011
Chrysler LLC,Dodge,Grand Caravan,MPV,82%,"","",CN,"",US,M,US,"",2011
Chrysler LLC,Dodge,Journey,MPV,38%,51% M,"",M,"",US,M,US,"",2011
Chrysler LLC,Dodge,Nitro,MPV,80%,"","",US,"",US,"",US,"",2011
Chrysler LLC,Dodge,Ram,Truck,70%,15% M,"",US,M,US,M,US,"",2011
Chrysler LLC,Fiat,500,PC,11%,59% M,"",M,"",US,"",US,"",2011
Chrysler LLC,Jeep,Compass,MPV,75%,15% M,"",US,"",US,"",US,"",2011
Chrysler LLC,Jeep,Grand Cherokee,MPV,71%,"","",US,"",US,M,US,"",2011
Chrysler LLC,Jeep,Liberty,MPV,78%,"","",US,"",US,"",US,"",2011
Chrysler LLC,Jeep,Patriot,MPV,75%,15% M,"",US,"",US,"",US,"",2011
Chrysler LLC,Jeep,Wrangler 2 Door,MPV,78%,"","",US,"",US,"",US,G,2011
Chrysler LLC,Jeep,Wrangler 4 Door,MPV,79%,"","",US,"",US,"",US,G,2011
Fiat,Ferrari,"612 Scaglietti, Scaglietti F1
& 599 GTB Fiorano/F1",PC,0%,"","",I,"","","","","",2011
Fiat,Ferrari,"F430/F430 F1, F430
Spider, F430 Spider F1,
430 Scuderia & Scuderia
Spider 16M",PC,0%,"","",I,"","","","","",2011
Ford Motor,Ford,Crown Victoria,PC,75%,"","",CN,"",US,"",US,"",2011
Ford Motor,Ford,Edge,MPV,65%,"","",CN,"",US,"",US,"",2011
Ford Motor,Ford,"Escape 2.5L, 2.5L/Electric
(Auto)",MPV,65%,"","",US,"",M,"",US,"",2011
Ford Motor,Ford,"Escape 2.5L, 2.5L/Electric
(M5, CVT)",MPV,65%,"","",US,"",M,"",J,"",2011
Ford Motor,Ford,Escape 3.0L (Auto),MPV,65%,"","",US,"",US,"",US,"",2011
Ford Motor,Ford,"Escape 3.0L (M5, CVT)",MPV,65%,"","",US,"",US,"",J,"",2011
Ford Motor,Ford,Expedition,MPV,50%,20% M,"",US,"",US,"",US,"",2011
Ford Motor,Ford,Explorer 2.0L,MPV,85%,"","",US,"",G,"",US,"",2011
Ford Motor,Ford,Explorer 3.5L,MPV,85%,"","",US,"",US,"",US,"",2011
Ford Motor,Ford,Fiesta (Auto),PC,10%,70% M,"",M,"",BR,"",M,"",2011
Ford Motor,Ford,Fiesta (Manual),PC,10%,70% M,"",M,"",BR,"",BR,"",2011
Ford Motor,Ford,Flex,MPV,60%,"","",CN,"",US,"",US,"",2011
Ford Motor,Ford,Focus (Auto),PC,60%,15% M,"",US,"",US,"",US,"",2011
Ford Motor,Ford,Focus (M5),PC,60%,15% M,"",US,"",US,"",G,"",2011
Ford Motor,Ford,F-Series,Truck,60%,15% M,"",US,"",US,"",US,"",2011
Ford Motor,Ford,F-Series 5.0L,Truck,60%,15% M,"",US,"",CN,"",US,"",2011
Ford Motor,Ford,"Fusion 2.5L, 2.5L HEV
(Auto)",PC,20%,50% M,"",M,"",M,"",US,"",2011
Ford Motor,Ford,"Fusion 2.5L, 2.5L HEV
(M5, Auto -select shift,
CVT)",PC,20%,50% M,"",M,"",M,"",J,"",2011
Ford Motor,Ford,"Fusion 3.0, 3.5L (Auto)",PC,20%,50% M,"",M,"",US,"",US,"",2011
Ford Motor,Ford,"Fusion 3.0L, 3.5L (M5,
Auto -select shift, CVT)",PC,20%,50% M,"",M,"",US,"",J,"",2011
Ford Motor,Ford,Mustang (Auto),PC,65%,"","",US,"",US,"",US,"",2011
Ford Motor,Ford,Mustang (Manual),PC,65%,"","",US,"",US,"",CH,M,2011
Ford Motor,Ford,Ranger 2.3L (Auto),Truck,65%,"","",US,"",SP,"",F,"",2011
Ford Motor,Ford,Ranger 2.3L (M5),Truck,65%,"","",US,"",SP,"",J,"",2011
Ford Motor,Ford,Ranger 4.0L (Auto),Truck,65%,"","",US,"",G,"",F,"",2011
Ford Motor,Ford,Ranger 4.0L (M5),Truck,65%,"","",US,"",G,"",J,"",2011
Ford Motor,Ford,Taurus,PC,65%,"","",US,"",US,"",US,"",2011
Ford Motor,Ford,Transit Connect,MPV,10%,65% T,"",T,"",SP,"",US,"",2011
Ford Motor,Lincoln,MKS,PC,55%,"","",US,"",US,"",US,"",2011
Ford Motor,Lincoln,MKT,PC,65%,"","",CN,"",US,"",US,"",2011
Ford Motor,Lincoln,MKX,MPV,65%,"","",CN,"",US,"",US,"",2011
Ford Motor,Lincoln,MKZ 2.5L HEV,PC,20%,45% M,20% J,M,"",M,"",J,"",2011
Ford Motor,Lincoln,MKZ 3.5L,PC,20%,45% M,20% J,M,"",US,"",J,"",2011
Ford Motor,Lincoln,Navigator,MPV,50%,20% M,"",US,"",US,"",US,"",2011
Ford Motor,Lincoln,Town Car,PC,75%,"","",CN,"",US,"",US,"",2011
Ford Motor,Mercury,Grand Marquis,PC,75%,"","",CN,"",US,"",US,"",2011
Ford Motor,Mercury,"Mariner 2.5L, 2.5L/Electric
(Auto)",MPV,70%,"","",US,"",M,"",US,"",2011
Ford Motor,Mercury,"Mariner 2.5L, 2.5L/Electric
(CVT)",MPV,70%,"","",US,"",M,"",J,"",2011
Ford Motor,Mercury,Mariner 3.0L (Auto),MPV,70%,"","",US,"",US,"",US,"",2011
Ford Motor,Mercury,Mariner 3.0L (CVT),MPV,70%,"","",US,"",US,"",J,"",2011
Ford Motor,Mercury,"Milan 2.5L, 2.5L HEV
(Auto)",PC,25%,50% M,"",M,"",M,"",US,"",2011
Ford Motor,Mercury,"Milan 2.5L, 2.5L HEV (M5,
Auto -select shift, CVT)",PC,25%,50% M,"",M,"",M,"",J,"",2011
Ford Motor,Mercury,"Milan 3.0, 3.5L (Auto)",PC,25%,50% M,"",M,"",US,"",US,"",2011
Ford Motor,Mercury,"Milan 3.0L, 3.5L (M5, Auto -
select shift, CVT)",PC,25%,50% M,"",M,"",US,"",J,"",2011
