mfg,makes,carlines,type,percent_content_USA_CAN,percent_content_other1,percent_content_other2,final_assembly1,final_assembly2,source_E1,source_E2,source_T1,source_T2,year,mfg_HQ,E_US,E_CA,T_US,T_CA,E_MX,T_MX,us_ca_shr,other1_shr,other1_who,other2_shr,other2_who,mx_shr,ell,add_plant,nafta_assembly,rem_shr,mx_shr_rem,mx_shr_rem_mn,stata_merge,mx_shr_con,mx_shr_lib,nafta_shr_lib,nafta_shr_con
American Honda,Acura,MDX,MPV,65%,25% J,,CN,,US,,J,,2011,JPN,true,false,false,false,false,false,65.0,25.0, J,,,,CA,false,true,10.0,,0.5172579287397855,3,0,5.172579287397855,70.17257928739785,65.0
American Honda,Acura,RDX,MPV,70%,15% J,,US,,US,,US,,2011,JPN,true,false,true,false,false,false,70.0,15.0, J,,,,US,false,true,15.0,,0.53367526812048,3,0,8.005129021807202,78.0051290218072,70.0
American Honda,Acura,TL,PC,75%,,,US,,US,,US,J,2011,JPN,true,false,true,false,false,false,75.0,,,,,,US,false,true,25.0,,0.53367526812048,3,0,13.341881703012001,88.341881703012,75.0
American Honda,Acura,ZDX,PC,65%,25% J,,CN,,US,,J,,2011,JPN,true,false,false,false,false,false,65.0,25.0, J,,,,CA,false,true,10.0,,0.5172579287397855,3,0,5.172579287397855,70.17257928739785,65.0
American Honda,Honda,Accord,PC,80%,,,US,J,US,J,US,"J, P",2011,JPN,true,false,true,false,false,false,80.0,,,,,,US,false,true,20.0,,0.53367526812048,3,0,10.673505362409601,90.6735053624096,80.0
American Honda,Honda,Civic,PC,70%,15% J,,US,"CN, J",US,J,J,,2011,JPN,true,false,false,false,false,false,70.0,15.0, J,,,,US,false,true,15.0,,0.53367526812048,3,0,8.005129021807202,78.0051290218072,70.0
American Honda,Honda,CR-V,MPV,60%,35% J,,US,"J, M",US,J,US,J,2011,JPN,true,false,true,false,false,false,60.0,35.0, J,,,,US,false,true,5.0,,0.53367526812048,3,0,2.6683763406024004,62.6683763406024,60.0
American Honda,Honda,Element,MPV,65%,20% J,,US,,US,,J,,2011,JPN,true,false,false,false,false,false,65.0,20.0, J,,,,US,false,true,15.0,,0.53367526812048,3,0,8.005129021807202,73.0051290218072,65.0
American Honda,Honda,Odyssey,MPV,75%,15% J,,US,,US,,US,J,2011,JPN,true,false,true,false,false,false,75.0,15.0, J,,,,US,false,true,10.0,,0.53367526812048,3,0,5.336752681204801,80.3367526812048,75.0
American Honda,Honda,Pilot,MPV,70%,,,US,,US,,US,,2011,JPN,true,false,true,false,false,false,70.0,,,,,,US,false,true,30.0,,0.53367526812048,3,0,14.0,84.0,70.0
American Honda,Honda,Ridgeline,Truck,75%,,,US,,US,,US,,2011,JPN,true,false,true,false,false,false,75.0,,,,,,US,false,true,25.0,,0.53367526812048,3,0,13.341881703012001,88.341881703012,75.0
American Suzuki,Suzuki,Equator,Truck,50%,27% J,,US,,US,,J,,2011,JPN,true,false,false,false,false,false,50.0,27.0, J,,,,US,false,true,23.0,,0.53367526812048,3,0,12.274531166771041,62.27453116677104,50.0
BMW AG,BMW,"X3, Auto",MPV,22%,34% G,,US,,A,,G,,2011,DEU,false,false,false,false,false,false,22.0,34.0, G,,,,US,false,true,44.0,,0.53367526812048,3,0,14.0,36.0,22.0
BMW AG,BMW,"X5, Auto",MPV,30%,45% G,,US,,G,,G,,2011,DEU,false,false,false,false,false,false,30.0,45.0, G,,,,US,false,true,25.0,,0.53367526812048,3,0,13.341881703012001,43.341881703012,30.0
BMW AG,BMW,"X6, Auto",MPV,20%,60% G,,US,,G,,G,,2011,DEU,false,false,false,false,false,false,20.0,60.0, G,,,,US,false,true,20.0,,0.53367526812048,3,0,10.673505362409601,30.6735053624096,20.0
Chrysler LLC,Chrysler,200,PC,81%,,,US,,US,M,US,,2011,ROW,true,false,true,false,true,false,81.0,,,,,,US,false,true,19.0,,0.53367526812048,3,0,10.13983009428912,91.13983009428912,81.0
Chrysler LLC,Chrysler,300,PC,73%,,,CN,,US,M,US,,2011,ROW,true,false,true,false,true,false,73.0,,,,,,CA,false,true,27.0,,0.5172579287397855,3,0,13.965964075974208,86.96596407597421,73.0
Chrysler LLC,Chrysler,Town & Country,MPV,80%,,,CN,,US,M,US,,2011,ROW,true,false,true,false,true,false,80.0,,,,,,CA,false,true,20.0,,0.5172579287397855,3,0,10.34515857479571,90.3451585747957,80.0
Chrysler LLC,Dodge,Avenger Sedan,PC,83%,,,US,,US,M,US,,2011,ROW,true,false,true,false,true,false,83.0,,,,,,US,false,true,17.0,,0.53367526812048,3,0,9.07247955804816,92.07247955804816,83.0
